Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
30.0,60.0,29.0,Đất đỏ bazan,Khoai tây,41,0,0,Urea
33.0,64.0,51.0,Đất cát,Cây bắp,5,9,29,14-35-14
34.0,65.0,31.0,Đất đỏ bazan,Cây chè,23,0,21,28-28
36.0,68.0,33.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),13,0,14,20-20
28.0,54.0,38.0,Đất sét,Các loại đậu,40,0,0,Urea
30.0,60.0,47.0,Đất cát,Cây đậu phộng (Lạc),12,0,42,DAP
31.0,62.0,63.0,Đất đỏ bazan,Cây bông,11,12,15,17-17-17
27.0,53.0,43.0,Đất thịt tơi xốp,Millets,23,0,24,28-28
34.0,65.0,54.0,Đất mùn,Cây chuối,38,0,0,Urea
29.0,58.0,37.0,Đất cát,Millets,8,0,15,20-20
25.0,50.0,56.0,Đất mùn,Cây mía,11,13,15,17-17-17
32.0,62.0,34.0,Đất đỏ bazan,Khoai tây,15,0,37,DAP
28.0,54.0,41.0,Đất sét,Cây lúa,36,0,0,Urea
30.0,60.0,49.0,Đất mùn,Cây chuối,13,0,9,20-20
34.0,65.0,64.0,Đất thịt tơi xốp,Cây bông,24,0,20,28-28
28.0,54.0,47.0,Đất cát,Cây đậu phộng (Lạc),5,18,15,10-26-26
27.0,53.0,35.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),37,0,0,Urea
36.0,68.0,62.0,Đất đỏ bazan,Cây bông,15,0,40,DAP
34.0,65.0,57.0,Đất thịt tơi xốp,Cây mía,9,0,13,20-20
29.0,58.0,55.0,Đất mùn,Cây mía,8,8,33,14-35-14
25.0,50.0,40.0,Đất sét,Các loại đậu,6,19,16,10-26-26
30.0,60.0,38.0,Đất cát,Millets,10,0,14,20-20
26.0,52.0,39.0,Đất sét,Các loại đậu,21,0,23,28-28
31.0,62.0,32.0,Đất đỏ bazan,Cây chè,39,0,0,Urea
34.0,65.0,48.0,Đất mùn,Cây chuối,23,0,19,28-28
27.0,53.0,34.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),42,0,0,Urea
33.0,64.0,31.0,Đất đỏ bazan,Khoai tây,13,0,39,DAP
29.0,58.0,42.0,Đất sét,Cây lúa,9,10,22,14-35-14
30.0,60.0,47.0,Đất cát,Cây bắp,22,0,21,28-28
27.0,53.0,59.0,Đất mùn,Cây mía,10,0,15,20-20
26.0,52.0,36.0,Đất sét,Các loại đậu,7,16,20,10-26-26
34.0,65.0,63.0,Đất đỏ bazan,Cây bông,14,0,38,DAP
28.0,54.0,43.0,Đất sét,Cây lúa,10,8,29,14-35-14
30.0,60.0,40.0,Đất cát,Millets,41,0,0,Urea
29.0,58.0,65.0,Đất thịt tơi xốp,Cây bông,14,0,35,DAP
26.0,52.0,59.0,Đất mùn,Cây mía,11,0,9,20-20
31.0,62.0,44.0,Đất cát,Cây đậu phộng (Lạc),21,0,28,28-28
35.0,67.0,28.0,Đất sét,Các loại đậu,8,7,31,14-35-14
29.0,58.0,30.0,Đất đỏ bazan,Cây chè,13,17,16,10-26-26
27.0,53.0,30.0,Đất thịt tơi xốp,Millets,35,0,0,Urea
36.0,68.0,50.0,Đất mùn,Cây chuối,12,18,19,10-26-26
29.0,58.0,61.0,Đất mùn,Cây bông,11,0,38,DAP
30.0,60.0,26.0,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),8,9,30,14-35-14
34.0,65.0,45.0,Đất sét,Cây lúa,6,19,21,10-26-26
36.0,68.0,41.0,Đất đỏ bazan,Khoai tây,41,0,0,Urea
28.0,54.0,25.0,Đất cát,Cây bắp,9,10,30,14-35-14
25.0,50.0,32.0,Đất sét,Các loại đậu,24,0,19,28-28
30.0,60.0,27.0,Đất đỏ bazan,Cây chè,4,17,17,10-26-26
38.0,72.0,51.0,Đất mùn,Cây chuối,39,0,0,Urea
36.0,60.0,43.0,Đất cát,Millets,15,0,41,DAP
29.0,58.0,57.0,Đất thịt tơi xốp,Cây mía,12,0,10,20-20
27.58,59.21,31.27,Đất mùn,Cây bông,20,2,15,DAP
27.45,66.38,50.14,Đất thịt tơi xốp,Millets,9,12,14,28-28
27.25,63.62,40.35,Đất thịt tơi xốp,Cây chuối,28,0,22,Urea
28.84,58.91,33.06,Đất sét,Millets,8,9,28,17-17-17
25.86,48.46,46.25,Đất đỏ bazan,Khoai tây,40,2,0,28-28
25.59,63.6,46.33,Đất sét,Cây bông,11,0,11,28-28
29.17,68.19,30.65,Đất cát,Các loại hạt (hạt mè, hạt  cải),6,4,14,Urea
36.05,73.59,58.17,Đất đỏ bazan,Millets,9,14,11,17-17-17
26.76,64.22,53.63,Đất cát,Khoai tây,5,8,30,28-28
27.66,53.58,40.96,Đất đỏ bazan,Cây bông,41,0,3,20-20
28.27,52.88,43.3,Đất thịt tơi xốp,Cây chuối,40,0,0,10-26-26
38.39,69.51,65.09,Đất sét,Các loại hạt (hạt mè, hạt  cải),8,1,16,Urea
28.74,56.8,54.07,Đất mùn,Cây bông,15,0,35,DAP
30.63,63.88,38.71,Đất mùn,Cây lúa,19,4,28,DAP
26.02,52.46,31.12,Đất mùn,Cây đậu phộng (Lạc),11,5,12,10-26-26
34.71,64.94,52.62,Đất cát,Các loại hạt (hạt mè, hạt  cải),9,22,21,14-35-14
23.71,51.25,30.5,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),11,0,8,17-17-17
30.63,61.45,23.18,Đất thịt tơi xốp,Cây bắp,37,2,4,17-17-17
23.63,52.62,31.03,Đất sét,Cây mía,12,13,13,14-35-14
27.65,58.09,69.07,Đất sét,Các loại hạt (hạt mè, hạt  cải),16,3,32,10-26-26
31.19,60.94,30.51,Đất thịt tơi xốp,Cây lúa,12,0,36,Urea
37.12,72.87,47.06,Đất cát,Cây chè,45,2,0,Urea
33.52,60.46,47.85,Đất thịt tơi xốp,Các loại đậu,7,15,16,DAP
29.44,59.34,55.51,Đất mùn,Cây mía,10,3,31,17-17-17
33.24,69.48,65.48,Đất sét,Cây bông,8,13,28,10-26-26
20.85,53.18,43.77,Đất mùn,Cây chè,2,20,19,Urea
38.42,73.97,50.41,Đất mùn,Cây mía,11,1,36,DAP
29.04,71.09,21.12,Đất cát,Cây bắp,34,0,3,14-35-14
23.59,55.82,62.92,Đất đỏ bazan,Cây mía,39,0,0,Urea
38.56,73.46,30.62,Đất thịt tơi xốp,Các loại đậu,11,0,32,28-28
30.87,63.94,46.2,Đất cát,Cây bông,15,0,8,Urea
25.83,51.1,59.57,Đất cát,Cây bắp,38,4,0,Urea
34.51,63.92,70.0,Đất mùn,Cây mía,14,0,35,17-17-17
31.92,62.59,27.78,Đất cát,Các loại đậu,18,0,25,DAP
28.43,58.72,43.9,Đất cát,Cây mía,13,16,11,20-20
27.53,55.04,57.07,Đất cát,Các loại đậu,4,0,14,28-28
24.53,67.4,48.49,Đất đỏ bazan,Cây lúa,8,9,18,20-20
30.82,51.91,54.23,Đất đỏ bazan,Cây chuối,15,4,33,14-35-14
32.53,59.45,20.16,Đất mùn,Cây bông,9,15,16,17-17-17
28.17,58.69,34.11,Đất cát,Cây bông,12,8,33,20-20
29.25,54.52,41.4,Đất sét,Cây lúa,35,0,0,28-28
22.26,51.36,48.36,Đất mùn,Cây chè,6,16,17,Urea
30.76,66.64,56.32,Đất đỏ bazan,Khoai tây,41,3,4,28-28
27.84,66.53,36.89,Đất mùn,Cây mía,7,11,20,Urea
29.21,64.21,54.95,Đất đỏ bazan,Cây chuối,7,11,31,14-35-14
26.01,59.52,35.75,Đất mùn,Các loại đậu,11,13,15,28-28
29.5,55.42,51.17,Đất đỏ bazan,Cây bông,23,0,23,10-26-26
32.98,62.02,33.12,Đất đỏ bazan,Cây chuối,40,0,0,10-26-26
24.24,59.04,50.07,Đất mùn,Cây đậu phộng (Lạc),38,0,1,Urea
33.54,59.28,52.09,Đất sét,Cây chuối,21,3,20,20-20
34.43,72.28,62.22,Đất sét,Khoai tây,35,4,0,17-17-17
32.19,68.94,67.37,Đất cát,Cây đậu phộng (Lạc),15,0,33,20-20
32.55,71.46,67.14,Đất sét,Các loại hạt (hạt mè, hạt  cải),5,7,32,20-20
28.38,52.02,43.83,Đất mùn,Cây chuối,13,0,38,10-26-26
25.4,43.57,38.51,Đất đỏ bazan,Cây bắp,36,0,0,28-28
33.8,52.28,53.31,Đất sét,Millets,12,15,15,28-28
28.38,47.58,34.86,Đất thịt tơi xốp,Cây lúa,20,0,20,28-28
28.37,59.8,35.35,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),23,2,16,17-17-17
30.08,73.84,41.22,Đất cát,Cây mía,1,14,22,10-26-26
34.95,64.93,62.63,Đất sét,Cây chuối,31,1,0,14-35-14
35.56,74.88,52.16,Đất sét,Cây bông,20,0,21,14-35-14
24.05,52.76,58.9,Đất cát,Các loại hạt (hạt mè, hạt  cải),7,1,7,DAP
23.42,53.65,69.68,Đất cát,Cây đậu phộng (Lạc),11,3,14,20-20
31.68,62.14,42.55,Đất thịt tơi xốp,Cây mía,17,0,31,17-17-17
31.03,69.0,49.46,Đất mùn,Cây bắp,19,0,19,20-20
31.78,44.27,45.07,Đất mùn,Cây bắp,5,8,32,DAP
22.3,60.64,40.78,Đất cát,Khoai tây,39,0,2,28-28
26.39,52.62,22.27,Đất cát,Cây bông,8,1,43,17-17-17
29.36,64.39,20.0,Đất đỏ bazan,Cây chè,13,4,39,10-26-26
26.67,47.94,34.08,Đất thịt tơi xốp,Cây mía,13,0,8,DAP
26.75,56.87,20.0,Đất sét,Cây đậu phộng (Lạc),12,6,30,17-17-17
30.64,65.77,32.86,Đất sét,Cây mía,24,0,17,17-17-17
29.89,48.59,38.0,Đất sét,Các loại đậu,26,0,21,28-28
28.61,62.22,41.53,Đất mùn,Khoai tây,8,13,18,Urea
37.09,63.72,47.99,Đất đỏ bazan,Cây mía,39,2,0,17-17-17
21.78,55.6,33.66,Đất mùn,Cây bắp,37,3,0,10-26-26
30.42,70.37,55.92,Đất đỏ bazan,Cây chuối,2,5,25,17-17-17
35.39,52.28,42.97,Đất cát,Các loại đậu,10,17,12,10-26-26
30.53,52.17,41.92,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),3,15,15,Urea
28.09,56.62,36.14,Đất mùn,Khoai tây,10,0,34,20-20
22.95,55.86,31.58,Đất thịt tơi xốp,Cây lúa,16,3,22,28-28
32.06,75.56,55.73,Đất cát,Cây chè,18,1,38,17-17-17
38.4,67.88,62.06,Đất sét,Cây bắp,11,11,16,28-28
33.59,66.16,69.67,Đất cát,Các loại đậu,12,13,27,20-20
26.47,62.91,46.87,Đất cát,Khoai tây,10,4,11,28-28
31.56,58.25,29.12,Đất mùn,Các loại hạt (hạt mè, hạt  cải),13,21,14,14-35-14
29.13,56.72,67.72,Đất sét,Khoai tây,8,13,32,17-17-17
23.35,59.98,63.83,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),36,4,0,14-35-14
26.75,58.1,39.27,Đất sét,Cây bắp,19,0,20,14-35-14
30.42,48.76,42.28,Đất đỏ bazan,Millets,41,0,1,17-17-17
24.9,51.02,31.9,Đất mùn,Khoai tây,14,13,8,17-17-17
27.31,57.3,22.41,Đất mùn,Cây chuối,34,1,0,Urea
31.5,74.7,23.25,Đất sét,Khoai tây,8,1,9,DAP
27.63,69.25,41.18,Đất mùn,Millets,19,0,26,DAP
22.59,45.7,33.13,Đất thịt tơi xốp,Cây bắp,38,0,4,14-35-14
35.97,60.1,26.8,Đất thịt tơi xốp,Cây chè,11,2,40,20-20
27.69,55.55,27.9,Đất đỏ bazan,Cây mía,26,2,22,20-20
24.27,52.43,62.34,Đất mùn,Millets,6,1,14,DAP
30.42,50.01,26.27,Đất thịt tơi xốp,Khoai tây,9,3,11,28-28
31.52,44.64,42.86,Đất đỏ bazan,Cây đậu phộng (Lạc),13,0,35,28-28
30.64,57.57,46.45,Đất đỏ bazan,Cây chuối,12,4,13,20-20
22.17,47.78,43.03,Đất sét,Cây lúa,15,0,16,28-28
36.5,65.85,42.33,Đất mùn,Cây bắp,5,10,32,10-26-26
35.13,65.69,37.76,Đất thịt tơi xốp,Cây bắp,8,4,6,28-28
24.82,53.75,47.97,Đất thịt tơi xốp,Khoai tây,6,14,10,DAP
31.24,55.88,37.05,Đất cát,Các loại hạt (hạt mè, hạt  cải),6,0,9,Urea
29.77,46.18,63.79,Đất mùn,Cây bông,5,3,14,10-26-26
25.86,46.65,32.67,Đất sét,Các loại hạt (hạt mè, hạt  cải),35,0,0,17-17-17
30.15,60.77,42.93,Đất sét,Cây bông,44,0,0,Urea
29.46,59.4,49.1,Đất sét,Khoai tây,10,0,12,28-28
29.37,64.45,64.66,Đất thịt tơi xốp,Cây bông,38,0,0,10-26-26
23.63,58.75,35.6,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),19,0,18,28-28
32.45,60.24,55.92,Đất cát,Millets,10,5,31,28-28
37.34,63.39,25.36,Đất đỏ bazan,Cây lúa,15,4,39,14-35-14
30.41,67.24,65.58,Đất mùn,Cây bông,3,8,34,17-17-17
31.9,55.45,59.87,Đất cát,Cây đậu phộng (Lạc),12,0,37,14-35-14
35.85,52.79,54.13,Đất sét,Cây bông,16,13,16,17-17-17
28.87,49.91,35.02,Đất đỏ bazan,Các loại đậu,20,0,23,10-26-26
26.33,50.2,45.34,Đất sét,Các loại hạt (hạt mè, hạt  cải),9,19,18,10-26-26
29.67,58.75,40.69,Đất cát,Cây mía,35,0,0,Urea
32.2,50.72,39.63,Đất sét,Khoai tây,23,0,15,28-28
29.24,62.15,51.65,Đất thịt tơi xốp,Millets,6,0,41,10-26-26
34.15,71.16,41.7,Đất đỏ bazan,Cây lúa,37,0,1,Urea
31.56,55.15,56.8,Đất đỏ bazan,Cây đậu phộng (Lạc),9,0,35,DAP
24.76,56.88,20.0,Đất sét,Các loại hạt (hạt mè, hạt  cải),9,0,36,10-26-26
34.15,63.96,47.64,Đất đỏ bazan,Cây đậu phộng (Lạc),11,0,14,14-35-14
30.7,57.71,38.36,Đất cát,Cây chuối,9,4,18,28-28
34.89,53.79,37.58,Đất đỏ bazan,Khoai tây,23,2,22,Urea
26.7,63.42,24.65,Đất cát,Cây bông,13,1,42,17-17-17
23.75,61.43,52.94,Đất thịt tơi xốp,Khoai tây,37,0,0,DAP
25.73,52.9,46.14,Đất đỏ bazan,Cây bông,21,0,18,20-20
25.36,50.91,24.39,Đất mùn,Cây chuối,13,0,10,20-20
36.35,61.89,65.38,Đất thịt tơi xốp,Cây mía,39,0,0,DAP
21.91,46.66,45.27,Đất thịt tơi xốp,Millets,24,0,21,14-35-14
26.44,65.84,50.2,Đất sét,Các loại đậu,10,0,9,28-28
28.93,50.28,20.33,Đất đỏ bazan,Cây chuối,8,0,12,Urea
30.06,53.68,70.0,Đất cát,Cây bắp,7,6,34,20-20
35.29,64.13,46.59,Đất sét,Các loại đậu,16,13,13,14-35-14
24.61,63.9,70.0,Đất mùn,Các loại đậu,41,2,0,DAP
29.38,60.44,45.57,Đất sét,Millets,19,0,22,14-35-14
30.2,51.16,32.5,Đất đỏ bazan,Cây đậu phộng (Lạc),20,0,19,DAP
32.46,68.2,64.77,Đất cát,Cây mía,11,0,9,14-35-14
24.26,53.19,67.73,Đất sét,Các loại hạt (hạt mè, hạt  cải),34,0,4,DAP
37.9,75.51,25.35,Đất sét,Khoai tây,11,0,35,DAP
31.1,55.48,46.43,Đất cát,Cây bông,34,0,2,Urea
31.75,62.4,34.97,Đất thịt tơi xốp,Cây chuối,17,0,15,Urea
27.29,57.56,53.09,Đất thịt tơi xốp,Các loại đậu,15,11,11,20-20
26.71,55.89,69.87,Đất mùn,Cây lúa,15,0,40,14-35-14
29.25,56.07,33.6,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),21,0,18,DAP
29.73,58.67,29.64,Đất đỏ bazan,Cây đậu phộng (Lạc),17,0,20,17-17-17
31.62,57.88,42.77,Đất sét,Các loại hạt (hạt mè, hạt  cải),10,12,18,14-35-14
25.93,54.07,23.84,Đất mùn,Cây bắp,8,13,12,14-35-14
26.47,55.37,59.34,Đất cát,Cây bắp,11,1,12,20-20
21.92,53.0,33.57,Đất thịt tơi xốp,Cây đậu phộng (Lạc),18,0,42,17-17-17
24.35,58.11,34.04,Đất sét,Các loại hạt (hạt mè, hạt  cải),4,0,10,28-28
29.55,45.99,50.06,Đất đỏ bazan,Cây mía,9,4,10,10-26-26
28.29,60.24,33.44,Đất thịt tơi xốp,Các loại đậu,33,0,2,DAP
31.31,73.26,70.0,Đất mùn,Các loại đậu,11,2,41,14-35-14
30.05,58.21,23.31,Đất mùn,Cây bông,43,0,0,17-17-17
31.27,62.18,32.06,Đất cát,Cây lúa,21,4,24,14-35-14
32.51,61.45,70.0,Đất mùn,Khoai tây,10,1,32,Urea
23.98,44.94,20.0,Đất cát,Các loại hạt (hạt mè, hạt  cải),14,11,13,28-28
30.28,69.29,53.16,Đất cát,Cây chè,39,1,2,10-26-26
28.02,54.85,55.71,Đất cát,Cây mía,10,9,18,20-20
28.66,56.26,39.29,Đất thịt tơi xốp,Cây mía,37,0,1,DAP
30.85,70.39,29.35,Đất thịt tơi xốp,Millets,22,0,26,10-26-26
24.51,62.55,65.83,Đất mùn,Các loại đậu,13,4,5,Urea
22.33,56.84,29.98,Đất thịt tơi xốp,Khoai tây,18,4,23,14-35-14
29.75,55.39,28.42,Đất cát,Cây chè,42,1,4,14-35-14
28.27,52.86,22.36,Đất sét,Khoai tây,41,0,2,10-26-26
33.27,67.2,40.49,Đất mùn,Cây lúa,17,0,12,10-26-26
38.53,70.2,28.94,Đất mùn,Millets,10,0,32,17-17-17
25.2,60.02,69.92,Đất cát,Các loại hạt (hạt mè, hạt  cải),8,14,31,20-20
23.66,55.66,31.32,Đất đỏ bazan,Cây chuối,38,0,2,20-20
35.01,71.58,39.2,Đất thịt tơi xốp,Cây chuối,9,0,16,14-35-14
36.92,69.78,32.64,Đất sét,Cây bắp,12,2,31,14-35-14
23.74,47.23,43.64,Đất đỏ bazan,Cây chè,18,0,19,10-26-26
30.51,48.99,28.68,Đất thịt tơi xốp,Cây chè,6,0,11,14-35-14
27.02,68.83,33.05,Đất thịt tơi xốp,Cây chè,0,16,19,Urea
27.77,42.89,59.1,Đất đỏ bazan,Cây đậu phộng (Lạc),6,2,13,Urea
39.65,63.55,47.33,Đất đỏ bazan,Cây bông,3,12,30,Urea
37.27,64.08,36.28,Đất đỏ bazan,Cây đậu phộng (Lạc),15,4,45,20-20
27.93,64.17,62.13,Đất thịt tơi xốp,Các loại đậu,7,0,6,20-20
29.95,61.75,36.58,Đất thịt tơi xốp,Cây mía,37,0,0,28-28
24.97,59.24,47.46,Đất cát,Cây lúa,26,0,21,20-20
27.68,61.68,59.47,Đất sét,Cây lúa,18,0,36,17-17-17
23.82,47.74,30.62,Đất thịt tơi xốp,Cây bông,2,20,12,17-17-17
34.57,69.61,57.23,Đất sét,Các loại đậu,38,0,0,DAP
35.1,70.14,56.12,Đất mùn,Các loại đậu,16,0,44,20-20
33.71,59.42,29.32,Đất thịt tơi xốp,Cây đậu phộng (Lạc),16,0,38,14-35-14
24.75,45.31,49.7,Đất sét,Cây bông,23,0,23,10-26-26
37.36,59.64,53.7,Đất mùn,Millets,3,12,31,10-26-26
32.22,56.29,48.76,Đất thịt tơi xốp,Cây bắp,35,0,2,10-26-26
32.35,48.81,46.33,Đất mùn,Cây lúa,31,3,0,20-20
40.0,80.0,59.99,Đất sét,Cây bông,42,0,0,10-26-26
25.85,62.32,48.82,Đất đỏ bazan,Cây bông,33,3,0,DAP
30.61,66.36,42.09,Đất đỏ bazan,Cây đậu phộng (Lạc),8,22,18,DAP
34.51,54.79,54.12,Đất mùn,Cây bắp,5,6,26,28-28
29.66,43.74,43.31,Đất đỏ bazan,Cây lúa,35,3,2,20-20
31.75,46.82,37.35,Đất đỏ bazan,Cây bắp,16,0,15,DAP
25.43,68.65,39.28,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),20,0,17,10-26-26
30.97,58.53,29.79,Đất mùn,Cây chuối,10,21,13,17-17-17
28.58,71.66,46.04,Đất đỏ bazan,Các loại hạt (hạt mè, hạt  cải),10,12,9,10-26-26
29.87,63.64,61.4,Đất thịt tơi xốp,Cây chuối,15,16,10,20-20
25.09,54.56,34.08,Đất đỏ bazan,Cây bắp,19,0,21,28-28
29.76,45.13,30.91,Đất đỏ bazan,Cây bông,35,2,0,DAP
31.38,69.36,35.4,Đất thịt tơi xốp,Cây chè,35,3,0,Urea
36.7,70.28,23.31,Đất cát,Khoai tây,37,0,0,10-26-26
26.91,44.27,23.76,Đất mùn,Cây đậu phộng (Lạc),18,0,45,10-26-26
30.83,53.08,47.02,Đất thịt tơi xốp,Các loại hạt (hạt mè, hạt  cải),7,0,5,DAP
31.98,55.89,57.6,Đất đỏ bazan,Cây đậu phộng (Lạc),37,4,0,17-17-17
30.46,48.84,33.31,Đất đỏ bazan,Cây lúa,23,1,25,14-35-14
29.24,54.29,47.85,Đất sét,Cây lúa,14,9,32,Urea
31.38,67.84,59.74,Đất mùn,Cây bắp,12,0,34,10-26-26
29.08,54.19,61.72,Đất sét,Cây bắp,41,0,1,14-35-14
40.0,60.8,50.41,Đất thịt tơi xốp,Cây bông,12,10,23,10-26-26
23.18,53.55,20.0,Đất thịt tơi xốp,Khoai tây,19,15,15,17-17-17
32.61,54.79,70.0,Đất thịt tơi xốp,Cây đậu phộng (Lạc),40,4,0,Urea
36.12,72.17,33.4,Đất cát,Cây lúa,9,0,37,Urea
23.88,57.05,35.25,Đất mùn,Cây đậu phộng (Lạc),40,3,0,20-20
30.78,64.7,35.01,Đất sét,Các loại đậu,14,0,12,10-26-26
36.46,65.08,43.87,Đất đỏ bazan,Cây lúa,10,8,27,10-26-26
40.0,77.61,29.53,Đất mùn,Cây mía,7,4,45,10-26-26
32.0,57.73,35.48,Đất thịt tơi xốp,Cây chuối,42,0,0,10-26-26
32.69,69.21,22.19,Đất thịt tơi xốp,Cây mía,4,10,26,20-20
29.63,45.37,21.76,Đất thịt tơi xốp,Cây mía,14,0,11,28-28
34.22,56.39,49.89,Đất đỏ bazan,Các loại đậu,25,0,19,14-35-14
36.56,76.26,36.26,Đất cát,Cây chuối,7,11,34,10-26-26
37.0,62.94,55.83,Đất mùn,Các loại đậu,35,1,0,20-20
37.66,74.6,28.6,Đất thịt tơi xốp,Millets,36,3,3,DAP
36.42,75.12,46.56,Đất cát,Khoai tây,14,2,37,DAP
29.92,50.41,62.32,Đất sét,Khoai tây,8,9,32,10-26-26
31.96,49.13,52.38,Đất mùn,Cây bắp,8,0,38,10-26-26
38.65,62.79,58.95,Đất thịt tơi xốp,Cây bông,10,0,43,20-20
24.94,50.42,55.75,Đất đỏ bazan,Cây chè,35,0,1,14-35-14
26.11,52.09,44.94,Đất thịt tơi xốp,Các loại đậu,25,4,22,Urea
39.68,75.02,51.69,Đất sét,Cây đậu phộng (Lạc),3,4,31,14-35-14
32.74,64.14,68.56,Đất đỏ bazan,Millets,12,0,39,10-26-26
25.3,50.31,45.77,Đất mùn,Cây chè,14,1,36,14-35-14
29.37,61.61,33.0,Đất mùn,Các loại hạt (hạt mè, hạt  cải),4,9,26,10-26-26
35.12,61.28,35.3,Đất đỏ bazan,Cây mía,11,0,36,Urea
31.57,46.3,28.05,Đất đỏ bazan,Cây chè,36,0,0,14-35-14
38.0,61.23,26.32,Đất thịt tơi xốp,Cây chuối,9,4,38,17-17-17
36.29,71.0,56.12,Đất thịt tơi xốp,Cây đậu phộng (Lạc),38,0,0,DAP
32.76,61.99,68.62,Đất thịt tơi xốp,Các loại đậu,13,0,38,DAP
33.01,61.9,32.87,Đất cát,Cây chuối,41,3,1,28-28
